ID,Sentiment,Date,Retweet_count,Tweet
1.47E+18,positive,Tue Nov 30 00:00:14 +0000 2021,31,RT @HanifahAndini96: Jakarta blm bebas pandemi meski masuk kategori PPKM Level 1. Kondisi Natal n tahun baru 2022 serta penurunan level DKI…
1.47E+18,positive,Tue Nov 30 00:01:39 +0000 2021,0,Status PPKM DKI Jakarta Naik ke Level 2 https://t.co/VHC8wZewEr
1.47E+18,negative,Tue Nov 30 00:01:40 +0000 2021,0,"Org² kaya lu nih yg bikin ppkm suka diperpanjang. Parno kebodohan pala Lo, liat berapa banyak org yg udah meninggal gara² nih virus. Kmrin² bukan perkara sepele njir. Vaksin gak ngejamin lo ga kena, bangga bgt Lo ngomong gini?? https://t.co/3ebS0mDThN https://t.co/YjWYcQhUXY"
1.47E+18,negative,Tue Nov 30 00:01:41 +0000 2021,1549,RT @msaid_didu: Sangat lucu alasan mewajibkan PCR utk hambat mobilisasi. Wajibkan PCR jelas utk : 1) memaksa rakyat membeli produk pengusah…
1.47E+18,positive,Tue Nov 30 00:02:34 +0000 2021,7,"RT @Bisniscom: Kasus Covid-19 Rendah, Ini Alasan Pemerintah Perpanjang PPKM Jawa-Bali sampai 13 Desember https://t.co/8gj27Z9KQe"
1.47E+18,positive,Tue Nov 30 00:03:25 +0000 2021,15,RT @CNNIndonesia: Status PPKM DKI Jakarta Naik ke Level 2 https://t.co/WjEY1pp6rm
1.47E+18,negative,Tue Nov 30 00:04:37 +0000 2021,0,Kita??? Sorry gue mah pake ya. Pake masker udah jadi kebiasaan. Ya pantes aja kalau ppkm di indo ga habis² wong masyarakatnya aja gini. Gamau pake masker tapi gamau ppkm. Puncak komedi https://t.co/vxpdgSoJHb https://t.co/dRAzUNeF9m
1.47E+18,negative,Tue Nov 30 00:05:28 +0000 2021,0,@cintarenjun Aduhh tapi bau bau ppkm
1.47E+18,positive,Tue Nov 30 00:05:35 +0000 2021,18,RT @kalla_jengking: Wagub DKI Jakarta Ahmad Riza Patria meminta PA 212 mempertimbangkan lagi rencana reuni 212 tersebut meski Jakarta sudah…
1.47E+18,positive,Tue Nov 30 00:05:58 +0000 2021,7,"RT @Bisniscom: Kasus Covid-19 Rendah, Ini Alasan Pemerintah Perpanjang PPKM Jawa-Bali sampai 13 Desember https://t.co/8gj27Z9KQe"
1.47E+18,positive,Tue Nov 30 00:07:18 +0000 2021,31,RT @HanifahAndini96: Jakarta blm bebas pandemi meski masuk kategori PPKM Level 1. Kondisi Natal n tahun baru 2022 serta penurunan level DKI…
1.47E+18,positive,Tue Nov 30 00:07:39 +0000 2021,31,RT @HanifahAndini96: Jakarta blm bebas pandemi meski masuk kategori PPKM Level 1. Kondisi Natal n tahun baru 2022 serta penurunan level DKI…
1.47E+18,positive,Tue Nov 30 00:11:18 +0000 2021,3,"RT @KompasTV: PPKM Jawa-Bali Diperpanjang hingga 14 Desember, 23 Daerah Kembali Level 2 https://t.co/qBcT9Y9Mpk https://t.co/RwSmCcMQLK"
1.47E+18,negative,Tue Nov 30 00:11:21 +0000 2021,0,@darkneces @nandidntsleep @AREAJULID Kita? Daerah lo aja kali. Daerah gw mah tertib wkwk. Lagian ppkm juga tujuannya biar covid ga makin nyebar
1.47E+18,positive,Tue Nov 30 00:11:30 +0000 2021,7,"RT @Bisniscom: Kasus Covid-19 Rendah, Ini Alasan Pemerintah Perpanjang PPKM Jawa-Bali sampai 13 Desember https://t.co/8gj27Z9KQe"
1.47E+18,positive,Tue Nov 30 00:15:37 +0000 2021,38,"RT @3CareIndonesia: Seneng banget deh tau kalo PPKM semakin turun levelnya, jadi merasa lebih tenang dan aman kalo beraktivitas di luar bua…"
1.47E+18,positive,Tue Nov 30 00:24:10 +0000 2021,0,"Awal tahun:  🙋🏻‍♀️: konsep nikah kamu kek gmn win? 💁🏻‍♀️: aku pengen yg sederhana aja, gausah gede-gedean, yg diundang orang-orang terdekat.  Akhir tahun:  Beneran emang dianjurinnya utk yg sederhana aja krn si ppkm comeback ditanggal yg ditentukan. Beneran didukung sama semesta nih😂 https://t.co/Oy7vXRmLiF"
1.47E+18,negative,Tue Nov 30 00:26:13 +0000 2021,0,"Hubungannya adalah ketika pemerintah terlalu keras mengumumkan bahwa kita dalam keadaan genting dan akan segera memberlakukan kebijakan PPKM super ketat. Para pengusaha dan pelaku bisnis akan semakin tercekik. Dampaknya? Kegiatan ekonomi bakal menemukan ""shock"" nya."
1.47E+18,positive,Tue Nov 30 00:26:17 +0000 2021,1,"@Dindin30_ @JJ_Zenal Kalo pemerintah bilang ada varian baru covid, ya ada varian baru. Pemerintah bilang ppkm, ya ppkm. Pemerintah bilang A sampe Z Rakyat harus terima..  Sungguh membagongkan...."
1.47E+18,positive,Tue Nov 30 00:44:28 +0000 2021,38,"RT @3CareIndonesia: Seneng banget deh tau kalo PPKM semakin turun levelnya, jadi merasa lebih tenang dan aman kalo beraktivitas di luar bua…"
1.47E+18,positive,Tue Nov 30 01:10:03 +0000 2021,38,"RT @3CareIndonesia: Seneng banget deh tau kalo PPKM semakin turun levelnya, jadi merasa lebih tenang dan aman kalo beraktivitas di luar bua…"
1.47E+18,positive,Tue Nov 30 01:46:47 +0000 2021,38,"RT @3CareIndonesia: Seneng banget deh tau kalo PPKM semakin turun levelnya, jadi merasa lebih tenang dan aman kalo beraktivitas di luar bua…"
1.47E+18,positive,Tue Nov 30 01:56:31 +0000 2021,0,Muktamar Ke-34 NU diundur agar pelaksanaannya nanti bisa lebih optimal dan mendukung pemerintah dalam penerapan PPKM level 3 demi keselamatan bersama #kiaisaid #buyasaid #saidaqil #ketumPBNU #MuktamarNU34  #MuktamarNU2021 #PBNU #Nahdlatululama https://t.co/pkty1I9un2
1.47E+18,positive,Tue Nov 30 02:01:09 +0000 2021,0,Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/IfXjV85FYs
1.47E+18,positive,Tue Nov 30 02:13:25 +0000 2021,0,Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/LvpMfenVLL
1.47E+18,positive,Tue Nov 30 02:14:29 +0000 2021,3,Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/O51LK4RJci
1.47E+18,positive,Tue Nov 30 02:14:58 +0000 2021,2,Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/F77renZXqm
1.47E+18,positive,Tue Nov 30 02:15:33 +0000 2021,3,RT @dikyasapolress2: Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di K…
1.47E+18,positive,Tue Nov 30 02:15:51 +0000 2021,0,Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/OrmbY7PvKP
1.47E+18,positive,Tue Nov 30 02:16:01 +0000 2021,2,RT @dikyasapolress2: Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di K…
1.47E+18,positive,Tue Nov 30 02:17:07 +0000 2021,3,RT @dikyasapolress2: Kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di K…
1.47E+18,positive,Tue Nov 30 02:17:34 +0000 2021,0,Giat kampanye keselamatan tertib berlalu lintas dengan pembagian paket mainan kepada anak yang di bonceng sepeda motor dengan menggunakan helm di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/LJjS7WspfD
1.47E+18,positive,Tue Nov 30 02:18:15 +0000 2021,0,Giat kampanye keselamatan tertib berlalu lintas dengan pembagian paket mainan kepada anak yang di bonceng sepeda motor dengan menggunakan helm di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/E4jsh2vt2K
1.47E+18,positive,Tue Nov 30 02:19:01 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/T0gFKpuVCt
1.47E+18,positive,Tue Nov 30 02:19:23 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/9JrX226FgE
1.47E+18,positive,Tue Nov 30 02:19:47 +0000 2021,1,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/idAQqBnd5u
1.47E+18,positive,Tue Nov 30 02:20:41 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada masyarakat di alun-alun kota Subang dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/x6M5S12Lka
1.47E+18,positive,Tue Nov 30 02:20:49 +0000 2021,1,RT @dikyasapolress2: Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista dalam rangka PPKM lvl 2…
1.47E+18,positive,Tue Nov 30 02:21:06 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada masyarakat di alun-alun kota Subang dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/3WJdPsrf0Q
1.47E+18,positive,Tue Nov 30 02:21:28 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada masyarakat di alun-alun kota Subang dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/qEbkdD5Ud4
1.47E+18,positive,Tue Nov 30 03:08:46 +0000 2021,0,Reposted from @kamsel_polressubang Giat kampanye keselamatan tertib berlalu lintas dengan pembagian paket mainan kepada anak yang di bonceng sepeda motor dengan menggunakan helm di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/Z4eiQ4rOzY
1.47E+18,positive,Tue Nov 30 03:09:44 +0000 2021,0,Reposted from @kamsel_polressubang Giat kampanye keselamatan tertib berlalu lintas dengan pembagian paket mainan kepada anak yang di bonceng sepeda motor dengan menggunakan helm di Jalan Otista dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/y5Zr1U0NhW
1.47E+18,negative,Tue Nov 30 03:42:53 +0000 2021,0,"@greyyyfox Ya kalo masnya sampe nginget-nginget ginian karena pekerjaan masnya bersangkutan banget sama ppkm kan ya. Kalo aku nggak, udah lupa ppkm itu apa, level berapa, kenapa bisa pada level tertentu:') kek yang... Bye ppkm kimchil"
1.47E+18,positive,Tue Nov 30 03:52:26 +0000 2021,1,Unit KAMSEL SatLantas PolresTro Depok melaksanakan Sosialisasi Keselamatan Berlalulintas &amp; rencana Uji Coba Pemberlakuan GAGE dalam rangka PPKM Covid-19 &amp; pengendalian kemacetan lalulintas di Jln.Margonda Raya Depok. @TMCPoldaMetro @NTMCLantasPolri @SosmedNtmc @DivHumas_Polri https://t.co/72kvvE1hWf
1.47E+18,positive,Tue Nov 30 04:04:23 +0000 2021,0,Himbauan kepada Masyarakat Kota Pematangsiantar dalam pemberlakuan PPKM Level 3 Saat Libur Natal &amp; Tahun Baru Mulai 20 Desember 2021 untuk Bersama-sama kita Dukung Dan Patuhi Patuhi Protokol Kesehatan guna menekan &amp; memutus penyebaran COVID-19.  #polricegahcorona #polripresisi https://t.co/bUJeh8Y4Pg
1.47E+18,positive,Tue Nov 30 04:07:33 +0000 2021,1,RT @restrodepok: Unit KAMSEL SatLantas PolresTro Depok melaksanakan Sosialisasi Keselamatan Berlalulintas &amp; rencana Uji Coba Pemberlakuan G…
1.47E+18,negative,Tue Nov 30 04:14:35 +0000 2021,0,"PLS SOMEONE TELL ME, NO WAY HOME BAKAL BENERAN TAYANG DI BIOSKOP KAN YAA, ovt mulu dari kemaren sejak denger bkal ad ppkm lvl tiga. Gw di rumah doang diem, sampe nabung bwat nonton nwh tp klo kgk jadi ggra orang orang rese yg nggak ikutin prokes, pengen gw sentil ginjalnya anjr"
1.47E+18,negative,Tue Nov 30 05:11:05 +0000 2021,0,@20_20wid Apalagi wktu ppkm kemaren nggak kerja ya nggak pernah sisiran juga 😭
1.47E+18,positive,Tue Nov 30 05:14:53 +0000 2021,0,dukung program PPKM dan Vaksinasi https://t.co/Kqowl6i5Wp
1.47E+18,negative,Tue Nov 30 05:37:09 +0000 2021,0,"@PapppKim jngn kesel mas entar resekinya menjauh, mas yg sbar dan berdoa smoga ngk berlaku ppkm lagi aamiin"
1.47E+18,negative,Tue Nov 30 05:42:45 +0000 2021,0,"Etapi proses resign ini juga nggak mudah: kudu siap tabungan dan cari-cari pijakan baru sebelum tenggat waktu berakhir. Dan proses rekrutmen kerja bisa lama, apalagi pasca PPKM lagi pemulihan ekonomi.  Jadilah ngelamar di 32 posisi dan 22 tempat kerja."
1.47E+18,positive,Tue Nov 30 05:42:59 +0000 2021,0,Dukung dan sukses PPKM serta vaksinasi Covid-19 https://t.co/HuOHTDjSOw
1.47E+18,positive,Tue Nov 30 05:56:54 +0000 2021,0,Tapi ga apa bagus bisa ngerasain ibadah natal sebelum ppkm
1.47E+18,positive,Tue Nov 30 06:49:07 +0000 2021,0,Kapolres Pematangsiantar Ajak Masyarakat Dukung Implementasi PPKM Level III Saat Nataru https://t.co/RpqXKSON0D
1.47E+18,positive,Tue Nov 30 06:59:27 +0000 2021,0,"Jelang Nataru, Kapolres Siantar Ajak Masyarakat Dukung PPKM Level III https://t.co/mhq5sTYpxi"
1.47E+18,positive,Tue Nov 30 07:41:44 +0000 2021,1,RT @heydiko: Perlu dicatat guys: PPKM kali ini pemerintah nggak melakukan penyekatan atau larangan pergi. Kita sendirilah yang harus aware…
1.47E+18,positive,Tue Nov 30 08:06:23 +0000 2021,0,@NuFlashNews Salah satu sikap ke 27 PWNU tsb adlh mendukung PPKM level tiga.   Yahya Cholil Staquf
1.47E+18,positive,Tue Nov 30 08:25:47 +0000 2021,0,"Mendukung langkah Pemerintah dalam mencegah penyebaran COVID-19 dan setelah diberlakukannya PPKM level 3, Federasi Futsal Indonesia (FFI) secara resmi menunda kick off Liga Futsal Profesional (LFP) 2021 dari 11 Desember 2021 ke 8 Januari 2022. #ffi29112021 #futsal #indonesia https://t.co/fjRreeIkKn"
1.47E+18,negative,Tue Nov 30 08:50:24 +0000 2021,0,"baru seneng gaji normal sebulan, eh ppkm lagi emg ngehe"
1.47E+18,positive,Tue Nov 30 08:54:52 +0000 2021,0,Anggota Komisi IX DPR RI Rahmad Handoyo mendukung pemerintah yang akan menerapkan pemberlakuan pembatasan kegiatan masyarakat atau PPKM Level III di seluruh daerah di Indonesia dalam menyambut libur Natal dan Tahun Baru (Nataru) https://t.co/zNcV2MUmFF
1.47E+18,negative,Tue Nov 30 10:08:44 +0000 2021,0,"@JNB_Juliana ppkm mbak, percuma ambil cuti tapi gak bisa jalan-jalan, tempat-tempat wisata pd tutup kalau enggak pasti ramai"
1.47E+18,positive,Tue Nov 30 10:45:52 +0000 2021,0,"@Prambors Hampir tiap hari nongki sm tmn2 gw melepas lelah n penat setelah seharian kerja. Bukan ppkm yg menghalangi kami buat nongki,tp krn gw akhirnya pindah kerja jd nggak pernah nongki lg sm mereka. miss u guys😢 #janganditiruya"
1.47E+18,positive,Tue Nov 30 11:01:11 +0000 2021,1,"Aku setuju dgn ada PPKM desember nanti, tp klo libur semester ditiadakan or maybe dipangkas atau digeser segala macem, big NO sih. Bkn mau liburan, jalan2.. Tp anak2 sm guru jg butuh waktu buat ISTIRAHAT!! Gak mikirin daring, gak mikirin pelajaran. Mau rebahan aja dah beneran 😑"
1.47E+18,positive,Tue Nov 30 11:07:03 +0000 2021,0,Bagaimana UKM dapat bertahan di tengah tantangan masa PPKM level 3? XL Axiata Business Solutions telah merangkumnya untuk Anda!  #XLAxiataBusinessSolutions #WeHelpYouGrow #BerinovasiBersama #BIZOnDapatGopay #UKMIndonesia #DukungUKM https://t.co/UXS7TWb5EH
1.47E+18,negative,Tue Nov 30 11:38:13 +0000 2021,1,"Siapa yang mentungi rakyat DKI di masa PPKM..Siapa yang ngerjain itu? Satpol PP &amp; itu perintah gubernur.  Nah trus sekarang mau dukung-dukung Anies, untuk apa ? jangan karena dia Arab Islam lalu kamu buta.   Umat Islam bodoh asal-asal dukung Menurut Eggi..😂"
1.47E+18,positive,Tue Nov 30 14:08:55 +0000 2021,0,"@_ekokuntadhi Kalo terbukti melanggar PPKM harus ditindak tegas, Kami Rakyat Asli Indonesia bukan keturunan Arab Yaman Mendukung #bubarkan212  Demi #NKRIHargaMati"
1.47E+18,negative,Tue Nov 30 15:20:14 +0000 2021,1,"@schfess anak sekolah juga capek abis PAS butuh istirahat gua ga setuju banget kalau mau liburin tapi bersyarat adain semacam ppkm lagi, semua tempat wisata/mall di tutup ga adil juga buat umat kristiani aduh bikin emosi aja"
1.47E+18,positive,Tue Nov 30 15:35:54 +0000 2021,0,"Kalo urusan acara yang lagi di handle, juga seneng karena PPKM kembali level 2. Jam 9 tempat acara harus tutup. Pulang cepat, hahaha."
1.47E+18,negative,Tue Nov 30 17:50:03 +0000 2021,0,nggak ada halo December  yang ada halo ppkm lagi kayanya fuck lah
1.47E+18,positive,Tue Nov 30 18:00:18 +0000 2021,0,Wabup Gowa Dukung Kebijakan Perpanjang PPKM Mikro 14 Hari Kedepan https://t.co/awiW1dH6QM
1.47E+18,positive,Tue Nov 30 22:27:19 +0000 2021,0,"@__AnakKolong @muispebrianto Makanya baca beritanya yang bener. Bukan esensi 212 yang tidak disetujui, tapi karena Bogor masih PPKM level 3 dasar oon. Itu karena prokes.... gak boleh berkerumun. Kalau ente ente karena takut gerakan 212 nya. Dasar ngahok Pe'a"
1.47E+18,negative,Wed Dec 01 00:18:15 +0000 2021,0,Kesel sama ppkm nanti 😒
1.47E+18,negative,Wed Dec 01 00:48:27 +0000 2021,0,"gila Jakarta dah ppkm lvl 2 lagi aja :)  wish Desember, banjir ga menyebar dan lekas surut aamiin"
1.47E+18,positive,Wed Dec 01 00:57:49 +0000 2021,33,"RT @KemenkeuRI: Pemulihan ekonomi nasional terlihat, beberapa daerah telah masuk PPKM level 1-2.  Tidak lain krn dukungan masyarakat &amp; APBN…"
1.47E+18,positive,Wed Dec 01 01:01:45 +0000 2021,0,"Semua pihak harus dukung target PPKM level 1, karena akan menguntungkan semuanya. Ayo kejar terget!   https://t.co/u2njb5QRA8"
1.47E+18,positive,Wed Dec 01 01:13:01 +0000 2021,0,Wartawan Pemprov Sumut Ajak Masyarakat Dukung PPKM Level III  #wartawan #pemprov #sumut #ajak #masyarakat #dukung #ppkm #level #iii #ppkm https://t.co/Ce8F8AgMY0
1.47E+18,positive,Wed Dec 01 01:19:00 +0000 2021,0,"setuju bgt sih ppkm buat bulan ini jdi semua hotelnya murah, jdi ga sia"" libur dr tgl 20 🤪"
1.47E+18,positive,Wed Dec 01 01:45:36 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista Simpang Sinta dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/W6OoCVxCYf
1.47E+18,positive,Wed Dec 01 01:49:05 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista Simpang Sinta dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/fPLDGydOF4
1.47E+18,positive,Wed Dec 01 01:50:25 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista Simpang Sinta dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/99XXsacSXH
1.47E+18,positive,Wed Dec 01 01:53:01 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista Simpang Sinta dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/XslxoeowCJ
1.47E+18,positive,Wed Dec 01 01:54:02 +0000 2021,0,Giat kampanye keselamatan prokes dengan pembagian masker kepada pengguna jalan di Jalan Otista Simpang Sinta dalam rangka PPKM lvl 2 di Kab.Subang https://t.co/DZ4rR19Dqd
1.47E+18,positive,Wed Dec 01 01:57:26 +0000 2021,33,"RT @KemenkeuRI: Pemulihan ekonomi nasional terlihat, beberapa daerah telah masuk PPKM level 1-2.  Tidak lain krn dukungan masyarakat &amp; APBN…"
1.47E+18,negative,Wed Dec 01 01:59:42 +0000 2021,0,"@schfess krng setuju tntng peraturan ini. y serasa g mnghargai para umat kristiani aplgi ini hari raya. kita umat muslim kok minta dihargai melulu  cba dibalik situasiny, klo hari raya idul fitri diginiin, gmn :/  mnding pmberlakuan ppkm kek sblmnya, mereka juga butuh kumpul brng keluarga"
1.47E+18,positive,Wed Dec 01 02:04:59 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/rP3rxD3l6E
1.47E+18,positive,Wed Dec 01 02:05:27 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/n3pI648p2I
1.47E+18,positive,Wed Dec 01 02:05:58 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/yJR1tSH9y2
1.47E+18,positive,Wed Dec 01 02:06:34 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/XHlvxUnsRP
1.47E+18,positive,Wed Dec 01 02:07:16 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/vugFjcicaJ
1.47E+18,positive,Wed Dec 01 02:08:03 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/ryjKV79TNK
1.47E+18,positive,Wed Dec 01 02:08:38 +0000 2021,0,Kampanye keselamatan berlalu lintas dengan giat pembagian Paket snack gratis kepada anak Yang menggunakan helm saat dibonceng sepeda motor di Jalan Otista dalam rangka PPKM level 2 di  Kab.Subang https://t.co/f5tqSK59Ca
1.47E+18,positive,Wed Dec 01 02:27:19 +0000 2021,1,@hardrockfmbali @wulwulan @MIKAAFFANDY Setuju soalna PPKM penting untuk mencegah lebih banyak timbul KASUS BARU karena virus covid19 akan selalu ada di luar sana serta vaksinasi TIDAK MENJAMIN 100% orang tidak akan terkena virus 🙏🙏🙏
1.47E+18,positive,Wed Dec 01 02:27:49 +0000 2021,0,"Mendukung langkah Pemerintah dalam mencegah penyebaran COVID-19 dan setelah diberlakukannya PPKM level 3, Federasi Futsal Indonesia (FFI) secara resmi menunda kick off Liga Futsal Profesional (LFP) 2021 dari 11 Desember 2021 ke 8 Januari 2022. #ffi29112021 #futsal #indonesia https://t.co/qTQDzz6Wez"
